order	command	exit_status	log
1	cargo clean --manifest-path Cargo.toml --target x86_64-unknown-linux-musl	0	CLEAN.log
2	cargo fmt --manifest-path Cargo.toml --all --check	0	FORMAT.log
3	cargo check --manifest-path Cargo.toml --target x86_64-unknown-linux-musl --workspace --all-targets	0	CHECK.log
4	cargo test --manifest-path Cargo.toml --target x86_64-unknown-linux-musl --workspace	0	TEST.log
5	cargo clippy --manifest-path Cargo.toml --target x86_64-unknown-linux-musl --workspace --all-targets -- -D warnings	0	CLIPPY.log
6	cargo build --manifest-path Cargo.toml --target x86_64-unknown-linux-musl --release --workspace	0	BUILD_RELEASE.log
7	scripts/smoke.sh	0	CLI_SMOKE.log
8	ITERATIONS=100000 scripts/benchmark.sh	0	BENCHMARK.log
